tick,child_lineage,parent_lineage,generation,expr_hash,birth_kind
1,45,,0,778c93a8b040cf3f,novel
1,46,,0,778c93a8b040cf3f,novel
1,47,,0,7d83d7eb0e2b19f5,novel
1,48,,0,7d83d7eb0e2b19f5,novel
1,49,,0,ae5ee0e5ee4cb275,novel
1,50,,0,1ec23058ab7a7900,novel
1,51,,0,57de409537ab3935,novel
1,52,,0,57de409537ab3935,novel
1,53,11,1,778c93a8b040cf3f,reproduction
1,54,,0,40c0c668478ecf90,novel
1,55,,0,778c93a8b040cf3f,novel
1,56,,0,778c93a8b040cf3f,novel
1,57,,0,778c93a8b040cf3f,novel
1,58,,0,360d248622802470,novel
1,59,,0,778c93a8b040cf3f,novel
1,60,,0,778c93a8b040cf3f,novel
1,61,,0,82b3dcb707aae47f,novel
1,62,,0,5ba977d9f7168e4a,novel
1,63,,0,c8ebdfc8786d6db9,novel
1,64,,0,98104cd53a20958b,novel
1,65,,0,9a9693bafb36d4b7,novel
1,66,,0,c8ebdfc8786d6db9,novel
1,67,,0,5ba977d9f7168e4a,novel
1,68,,0,41f93b22a01b5aba,novel
1,69,,0,3d91d30573d2222e,novel
1,70,,0,7d83d7eb0e2b19f5,novel
1,71,,0,7d83d7eb0e2b19f5,novel
1,72,,0,40c0c668478ecf90,novel
1,73,29,1,81a9eae070ad7d05,reproduction
1,74,33,1,3f01ca7f5ae2e3cf,reproduction
1,75,,0,bcd21b07e6f7e5b9,novel
1,76,,0,778c93a8b040cf3f,novel
1,77,,0,dd7a10cedb235595,novel
1,78,,0,bcd21b07e6f7e5b9,novel
1,79,,0,778c93a8b040cf3f,novel
1,80,,0,da929c66eb3e88c1,novel
1,81,,0,da929c66eb3e88c1,novel
1,82,,0,83bff2229812e57c,novel
1,83,,0,82b3dcb707aae47f,novel
1,84,,0,778c93a8b040cf3f,novel
1,85,,0,e543075d2aed790e,novel
1,86,34,1,d1d701700d2f2d93,reproduction
1,87,,0,778c93a8b040cf3f,novel
1,88,,0,778c93a8b040cf3f,novel
1,89,19,1,778c93a8b040cf3f,reproduction
1,90,,0,778c93a8b040cf3f,novel
1,91,,0,1ec23058ab7a7900,novel
1,92,,0,ae5ee0e5ee4cb275,novel
1,93,,0,40c0c668478ecf90,novel
1,94,,0,778c93a8b040cf3f,novel
1,95,,0,778c93a8b040cf3f,novel
1,96,,0,2beb154ce7ff90d1,novel
1,97,,0,778c93a8b040cf3f,novel
1,98,,0,e3d203891eee8e15,novel
1,99,,0,cd8cf6fdc2f68597,novel
2,100,,0,da929c66eb3e88c1,novel
2,101,,0,da929c66eb3e88c1,novel
2,102,,0,e543075d2aed790e,novel
2,103,,0,9b466441d5a6c927,novel
2,104,,0,619b022425490d44,novel
2,105,,0,c8ebdfc8786d6db9,novel
2,106,20,1,40c0c668478ecf90,reproduction
2,107,,0,5ea21c0f9081b809,novel
2,108,,0,57de409537ab3935,novel
2,109,,0,40c0c668478ecf90,novel
2,110,19,1,778c93a8b040cf3f,reproduction
2,111,,0,30bbd2fc24562ce9,novel
2,112,,0,30bbd2fc24562ce9,novel
2,113,,0,da929c66eb3e88c1,novel
2,114,63,1,d1d701700d2f2d93,reproduction
2,115,,0,619b022425490d44,novel
2,116,,0,778c93a8b040cf3f,novel
2,117,96,1,ab386567e02eec27,reproduction
2,118,,0,5ba977d9f7168e4a,novel
2,119,,0,e543075d2aed790e,novel
2,120,34,1,9939da0ed2cda3c7,reproduction
2,121,15,1,2c0252c55f91c01e,reproduction
2,122,73,2,f3e2fe88603005e5,reproduction
2,123,57,1,778c93a8b040cf3f,reproduction
2,124,60,1,778c93a8b040cf3f,reproduction
2,125,84,1,2c0252c55f91c01e,reproduction
2,126,27,1,40c0c668478ecf90,reproduction
2,127,,0,a36b7baa25e15a3b,novel
2,128,,0,a36b7baa25e15a3b,novel
2,129,,0,43c4dcfe5cb6ff3a,novel
2,130,,0,67a7c5a7d94d8dab,novel
2,131,,0,778c93a8b040cf3f,novel
2,132,,0,0c5da772e4414513,novel
2,133,77,1,4deb4c079f852bc8,reproduction
2,134,94,1,778c93a8b040cf3f,reproduction
2,135,,0,6c17fe85e08e5c93,novel
2,136,,0,1c1095e8d8a6d08d,novel
2,137,,0,778c93a8b040cf3f,novel
2,138,,0,778c93a8b040cf3f,novel
2,139,,0,778c93a8b040cf3f,novel
2,140,93,1,ac6d433c5ae5191f,reproduction
2,141,,0,8f2fbe65338fe03f,novel
2,142,,0,f39f46cf054cd642,novel
2,143,,0,4d3be084d3467d01,novel
2,144,59,1,40c0c668478ecf90,reproduction
2,145,12,1,38487afa73c742dd,reproduction
2,146,,0,f39f46cf054cd642,novel
2,147,,0,dc21444d4e243b66,novel
2,148,64,1,4744b8a4512f6392,reproduction
2,149,87,1,82b3dcb707aae47f,reproduction
2,150,26,1,778c93a8b040cf3f,reproduction
2,151,,0,57de409537ab3935,novel
2,152,70,1,1fe283a99f3aa7b2,reproduction
2,153,,0,57de409537ab3935,novel
2,154,55,1,2c0252c55f91c01e,reproduction
2,155,11,1,778c93a8b040cf3f,reproduction
2,156,,0,57de409537ab3935,novel
2,157,,0,57de409537ab3935,novel
2,158,,0,53f0085e916666bc,novel
2,159,,0,83ac39c4ae4c7ae3,novel
2,160,,0,861bcb96d1b7ea60,novel
2,161,,0,778c93a8b040cf3f,novel
2,162,,0,5bcd0f366a84effd,novel
2,163,,0,82b3dcb707aae47f,novel
2,164,,0,a9c73d3dd8018b85,novel
2,165,,0,dd29906bac338f9d,novel
2,166,,0,778c93a8b040cf3f,novel
2,167,72,1,cfc075108d9f8b2f,reproduction
2,168,,0,1c1095e8d8a6d08d,novel
2,169,,0,6c17fe85e08e5c93,novel
2,170,,0,c4816e108dd01339,novel
2,171,,0,82b3dcb707aae47f,novel
2,172,,0,82b3dcb707aae47f,novel
2,173,,0,82b3dcb707aae47f,novel
2,174,,0,c8ebdfc8786d6db9,novel
2,175,83,1,cfc075108d9f8b2f,reproduction
