tick,child_lineage,parent_lineage,generation,expr_hash,birth_kind
1,90,,0,778c93a8b040cf3f,novel
1,91,,0,778c93a8b040cf3f,novel
1,92,47,1,ba54ec58ae52561c,reproduction
1,93,,0,778c93a8b040cf3f,novel
1,94,,0,778c93a8b040cf3f,novel
1,95,,0,5a92204f11af7b76,novel
1,96,,0,8ce18923c34b282a,novel
1,97,,0,b0c51920a9c271ea,novel
1,98,,0,40c0c668478ecf90,novel
1,99,,0,e543075d2aed790e,novel
1,100,34,1,59782a80b0380b18,reproduction
1,101,,0,778c93a8b040cf3f,novel
1,102,33,1,778c93a8b040cf3f,reproduction
1,103,,0,7d83d7eb0e2b19f5,novel
1,104,,0,7d83d7eb0e2b19f5,novel
1,105,11,1,bcd21b07e6f7e5b9,reproduction
1,106,,0,778c93a8b040cf3f,novel
1,107,,0,778c93a8b040cf3f,novel
1,108,,0,1a72f22fe8b6c0ed,novel
1,109,,0,f551b597dcbb2bda,novel
1,110,,0,8f486c1dcd2a814e,novel
1,111,,0,4e52df3f7ea8bbe9,novel
1,112,,0,778c93a8b040cf3f,novel
1,113,,0,778c93a8b040cf3f,novel
1,114,,0,5a92204f11af7b76,novel
1,115,36,1,f7de8eb7280971ed,reproduction
1,116,,0,82b3dcb707aae47f,novel
1,117,25,1,ec6c07bc862b1c82,reproduction
1,118,,0,dd7a10cedb235595,novel
1,119,,0,778c93a8b040cf3f,novel
1,120,,0,778c93a8b040cf3f,novel
1,121,,0,778c93a8b040cf3f,novel
1,122,,0,4d3be084d3467d01,novel
1,123,,0,778c93a8b040cf3f,novel
1,124,,0,778c93a8b040cf3f,novel
1,125,,0,778c93a8b040cf3f,novel
1,126,,0,778c93a8b040cf3f,novel
1,127,,0,6f3264eac5ebf183,novel
1,128,,0,92af9a0ce323b9e7,novel
1,129,,0,7d83d7eb0e2b19f5,novel
1,130,,0,7d83d7eb0e2b19f5,novel
1,131,,0,778c93a8b040cf3f,novel
1,132,,0,778c93a8b040cf3f,novel
1,133,,0,778c93a8b040cf3f,novel
1,134,,0,778c93a8b040cf3f,novel
1,135,,0,da929c66eb3e88c1,novel
1,136,,0,da929c66eb3e88c1,novel
1,137,,0,1a72f22fe8b6c0ed,novel
1,138,,0,f551b597dcbb2bda,novel
1,139,,0,40c0c668478ecf90,novel
1,140,,0,778c93a8b040cf3f,novel
1,141,56,1,784ff7ed17573571,reproduction
1,142,29,1,12d8ccb65267016b,reproduction
1,143,,0,778c93a8b040cf3f,novel
1,144,,0,778c93a8b040cf3f,novel
1,145,,0,778c93a8b040cf3f,novel
1,146,,0,84e03f78eac49d05,novel
1,147,,0,67948de77212be23,novel
1,148,,0,57de409537ab3935,novel
1,149,,0,57de409537ab3935,novel
1,150,58,1,778c93a8b040cf3f,reproduction
1,151,,0,1f14d2fd5cf052a5,novel
1,152,,0,57de409537ab3935,novel
1,153,,0,40c0c668478ecf90,novel
1,154,55,1,778c93a8b040cf3f,reproduction
1,155,,0,fd5482a816aabfd7,novel
1,156,,0,c1d7404ce193b759,novel
1,157,,0,58ecf384c361dcef,novel
1,158,,0,22d1736d6c847b9a,novel
1,159,,0,778c93a8b040cf3f,novel
1,160,,0,778c93a8b040cf3f,novel
1,161,,0,40c0c668478ecf90,novel
1,162,,0,40c0c668478ecf90,novel
1,163,69,1,0c8304f97400384c,reproduction
1,164,,0,1f14d2fd5cf052a5,novel
1,165,,0,57de409537ab3935,novel
1,166,,0,778c93a8b040cf3f,novel
1,167,83,1,40c0c668478ecf90,reproduction
1,168,88,1,82b3dcb707aae47f,reproduction
1,169,,0,4d3be084d3467d01,novel
1,170,35,1,40c0c668478ecf90,reproduction
1,171,,0,40c0c668478ecf90,novel
1,172,,0,e543075d2aed790e,novel
1,173,,0,62ba277bbc4c0733,novel
1,174,,0,cb38d09d6e74503d,novel
1,175,,0,1ec23058ab7a7900,novel
1,176,,0,ae5ee0e5ee4cb275,novel
1,177,,0,958dd68be74ed5c0,novel
1,178,,0,7eb6a9a6fa934c99,novel
1,179,,0,40c0c668478ecf90,novel
1,180,42,1,778c93a8b040cf3f,reproduction
1,181,,0,778c93a8b040cf3f,novel
1,182,,0,98104cd53a20958b,novel
1,183,22,1,82b3dcb707aae47f,reproduction
1,184,,0,778c93a8b040cf3f,novel
1,185,12,1,5ba977d9f7168e4a,reproduction
1,186,16,1,d00900ec926a0a46,reproduction
1,187,,0,4d3be084d3467d01,novel
1,188,18,1,296c46594af2bfcf,reproduction
1,189,,0,778c93a8b040cf3f,novel
1,190,,0,778c93a8b040cf3f,novel
1,191,89,1,778c93a8b040cf3f,reproduction
